date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:09	93276/93276	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:55:20%20GMT	https://templates.iqonic.design/posdash/html/backend/index.html	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/backend/index.html	(from )
17:14:09	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Apr%202022%2013:14:09%20GMT	https://templates.iqonic.design/robots.txt		(from )
17:14:10	405100/405100	---MCZ	200	added ('OK')	text/css	etag:%2262e6c-5c4912302fa7f-gzip%22	https://templates.iqonic.design/posdash/html/assets/css/backend-plugin.min.css	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/assets/css/backend-plugin.min.css	(from https://templates.iqonic.design/posdash/html/backend/index.html)
17:14:10	456223/456223	---MCZ	200	added ('OK')	text/css	etag:%226f61f-5c4912303295f-gzip%22	https://templates.iqonic.design/posdash/html/assets/css/backend.css?v=1.0.0	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/assets/css/backende209.css	(from https://templates.iqonic.design/posdash/html/backend/index.html)
17:14:10	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-5c49123062701-gzip%22	https://templates.iqonic.design/posdash/html/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://templates.iqonic.design/posdash/html/backend/index.html)
17:14:10	89729/89729	---M-Z	200	added ('OK')	text/css	etag:%2215e81-5c491230b2845-gzip%22	https://templates.iqonic.design/posdash/html/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css	(from https://templates.iqonic.design/posdash/html/backend/index.html)
17:14:10	110438/110438	---M-Z	200	added ('OK')	text/css	etag:%221af66-5c491230b4785-gzip%22	https://templates.iqonic.design/posdash/html/assets/vendor/remixicon/fonts/remixicon.css	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/assets/vendor/remixicon/fonts/remixicon.css	(from https://templates.iqonic.design/posdash/html/backend/index.html)
17:14:11	15897/15897	---M--	200	added ('OK')	image/png	etag:%223e19-5c49123042360%22	https://templates.iqonic.design/posdash/html/assets/images/logo.png	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/assets/images/logo.png	(from https://templates.iqonic.design/posdash/html/backend/index.html)
17:14:11	95606/95606	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:55:20%20GMT	https://templates.iqonic.design/posdash/html/backend/page-list-product.html	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/backend/page-list-product.html	(from https://templates.iqonic.design/posdash/html/backend/index.html)
17:14:11	79420/79420	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:55:20%20GMT	https://templates.iqonic.design/posdash/html/backend/page-add-product.html	C:/My%20Web%20Sites/contract/templates.iqonic.design/posdash/html/backend/page-add-product.html	(from https://templates.iqonic.design/posdash/html/backend/index.html)
